source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections,
KEGG,Longevity regulating pathway - multiple species,KEGG:04213,0.071081183,1.148245356,58,35,1,61498,P04040,
KEGG,Glycolysis / Gluconeogenesis,KEGG:00010,0.075932155,1.119574273,64,35,1,61498,P60174,
KEGG,Cardiac muscle contraction,KEGG:04260,0.081188879,1.090503457,77,35,1,61498,A0A2R8Y5V9,
KEGG,Pertussis,KEGG:05133,0.081188879,1.090503457,76,35,1,61498,A0A0G2JL54,
KEGG,Biosynthesis of amino acids,KEGG:01230,0.081188879,1.090503457,74,35,1,61498,P60174,
KEGG,Inositol phosphate metabolism,KEGG:00562,0.081188879,1.090503457,71,35,1,61498,P60174,
KEGG,Peroxisome,KEGG:04146,0.082064623,1.085844021,80,35,1,61498,P04040,
KEGG,Dilated cardiomyopathy,KEGG:05414,0.082957467,1.081144516,92,35,1,61498,A0A2R8Y5V9,
KEGG,Longevity regulating pathway,KEGG:04211,0.082957467,1.081144516,86,35,1,61498,P04040,
KEGG,Fc gamma R-mediated phagocytosis,KEGG:04666,0.082957467,1.081144516,94,35,1,61498,A0A0A0MS51,
KEGG,Small cell lung cancer,KEGG:05222,0.082957467,1.081144516,90,35,1,61498,P11047,
KEGG,Metabolic pathways,KEGG:01100,0.082957467,1.081144516,1457,35,3,61498,"P04040,P60174,K7EJP1",
KEGG,Hypertrophic cardiomyopathy,KEGG:05410,0.082957467,1.081144516,88,35,1,61498,A0A2R8Y5V9,
KEGG,Amoebiasis,KEGG:05146,0.083633847,1.077617926,97,35,1,61498,P11047,
KEGG,Oocyte meiosis,KEGG:04114,0.089404189,1.048642131,123,35,1,61498,B4DJF2,
KEGG,Spliceosome,KEGG:03040,0.089404189,1.048642131,123,35,1,61498,P61978,
KEGG,Toxoplasmosis,KEGG:05145,0.089404189,1.048642131,107,35,1,61498,P11047,
KEGG,Oxidative phosphorylation,KEGG:00190,0.089404189,1.048642131,118,35,1,61498,K7EJP1,
KEGG,Cell cycle,KEGG:04110,0.089404189,1.048642131,120,35,1,61498,B4DJF2,
KEGG,Neurotrophin signaling pathway,KEGG:04722,0.089404189,1.048642131,115,35,1,61498,B4DJF2,
KEGG,Relaxin signaling pathway,KEGG:04926,0.089404189,1.048642131,123,35,1,61498,P62736,
KEGG,Leukocyte transendothelial migration,KEGG:04670,0.089404189,1.048642131,110,35,1,61498,P26038,
KEGG,FoxO signaling pathway,KEGG:04068,0.089532688,1.048018375,128,35,1,61498,P04040,
KEGG,Systemic lupus erythematosus,KEGG:05322,0.089532688,1.048018375,127,35,1,61498,A0A0G2JL54,
KEGG,Apelin signaling pathway,KEGG:04371,0.092565362,1.033551496,135,35,1,61498,P62736,
KEGG,Adrenergic signaling in cardiomyocytes,KEGG:04261,0.094377863,1.025129861,144,35,1,61498,A0A2R8Y5V9,
KEGG,Oxytocin signaling pathway,KEGG:04921,0.094377863,1.025129861,148,35,1,61498,B7Z6Z4,
KEGG,Alcoholic liver disease,KEGG:04936,0.094377863,1.025129861,141,35,1,61498,A0A0G2JL54,
KEGG,Hippo signaling pathway,KEGG:04390,0.094377863,1.025129861,148,35,1,61498,B4DJF2,
KEGG,Hepatitis C,KEGG:05160,0.094880523,1.022822929,152,35,1,61498,B4DJF2,
KEGG,Protein processing in endoplasmic reticulum,KEGG:04141,0.094880523,1.022822929,154,35,1,61498,K7ELL7,
KEGG,NOD-like receptor signaling pathway,KEGG:04621,0.105501251,0.976742391,175,35,1,61498,B4DJF2,
KEGG,Diabetic cardiomyopathy,KEGG:05415,0.110611942,0.956197982,187,35,1,61498,K7EJP1,
KEGG,Thermogenesis,KEGG:04714,0.11990418,0.921165678,207,35,1,61498,K7EJP1,
KEGG,Salmonella infection,KEGG:05132,0.132624743,0.877375446,236,35,1,61498,E7EN95,
KEGG,Parkinson disease,KEGG:05012,0.132624743,0.877375446,238,35,1,61498,K7EJP1,
KEGG,Huntington disease,KEGG:05016,0.147973746,0.829815331,272,35,1,61498,K7EJP1,
KEGG,MAPK signaling pathway,KEGG:04010,0.152756192,0.816001178,286,35,1,61498,E7EN95,
KEGG,Pathways in cancer,KEGG:05200,0.255887493,0.59195094,517,35,1,61498,P11047,
REAC,Extracellular matrix organization,REAC:R-HSA-1474244,1.19E-11,10.92364931,298,35,9,61498,"P11047,E9PC84,C9JC84,P02671,D6RGG3,C9JNG9,P51884,P21810,E9PKH2",
REAC,Disease,REAC:R-HSA-1643685,1.79E-11,10.74811619,1694,35,14,61498,"M0QZN2,J3KTE4,P26038,E9PM36,A0A2R8Y5V9,P02730,K7ELL7,C9JC84,P02671,P61978,P63220,P51884,P21810,B4DJF2",
REAC,Metabolism of proteins,REAC:R-HSA-392499,1.69E-09,8.773378623,1944,35,13,61498,"M0QZN2,J3KTE4,A0A0A0MS51,P11047,E9PM36,E9PC84,K7ELL7,C9JC84,P02671,P50990,P61978,P09382,P63220",
REAC,Post-translational protein phosphorylation,REAC:R-HSA-8957275,2.17E-09,8.664161086,107,35,6,61498,"P11047,E9PC84,K7ELL7,C9JC84,P02671,P09382",
REAC,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),REAC:R-HSA-381426,4.43E-09,8.353478742,124,35,6,61498,"P11047,E9PC84,K7ELL7,C9JC84,P02671,P09382",
REAC,ECM proteoglycans,REAC:R-HSA-3000178,2.68E-08,7.571191336,75,35,5,61498,"P11047,E9PC84,C9JNG9,P51884,P21810",
REAC,Axon guidance,REAC:R-HSA-422475,2.68E-08,7.571191336,549,35,8,61498,"M0QZN2,J3KTE4,P11047,P26038,E9PM36,B7Z6Z4,P63220,C9JNG9",
REAC,Nervous system development,REAC:R-HSA-9675108,3.32E-08,7.47851193,574,35,8,61498,"M0QZN2,J3KTE4,P11047,P26038,E9PM36,B7Z6Z4,P63220,C9JNG9",
REAC,Integrin cell surface interactions,REAC:R-HSA-216083,3.83E-08,7.417151454,84,35,5,61498,"E9PC84,C9JC84,P02671,C9JNG9,P51884",
REAC,Developmental Biology,REAC:R-HSA-1266738,4.59E-06,5.337918507,1116,35,8,61498,"M0QZN2,J3KTE4,P11047,P26038,E9PM36,B7Z6Z4,P63220,C9JNG9",
REAC,Selenocysteine synthesis,REAC:R-HSA-2408557,4.67E-06,5.330948171,94,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Viral mRNA Translation,REAC:R-HSA-192823,4.67E-06,5.330948171,90,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Peptide chain elongation,REAC:R-HSA-156902,4.67E-06,5.330948171,90,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Eukaryotic Translation Termination,REAC:R-HSA-72764,4.67E-06,5.330948171,94,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Eukaryotic Translation Elongation,REAC:R-HSA-156842,4.67E-06,5.330948171,94,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),REAC:R-HSA-975956,4.78E-06,5.32046175,96,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Formation of a pool of free 40S subunits,REAC:R-HSA-72689,5.46E-06,5.262866091,102,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Response of EIF2AK4 (GCN2) to amino acid deficiency,REAC:R-HSA-9633012,5.46E-06,5.262866091,102,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,SRP-dependent cotranslational protein targeting to membrane,REAC:R-HSA-1799339,7.11E-06,5.148006119,113,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,GTP hydrolysis and joining of the 60S ribosomal subunit,REAC:R-HSA-72706,7.11E-06,5.148006119,113,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,L13a-mediated translational silencing of Ceruloplasmin expression,REAC:R-HSA-156827,7.11E-06,5.148006119,112,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Nonsense-Mediated Decay (NMD),REAC:R-HSA-927802,7.19E-06,5.142989502,116,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),REAC:R-HSA-975957,7.19E-06,5.142989502,116,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Selenoamino acid metabolism,REAC:R-HSA-2408522,7.19E-06,5.142989502,117,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Eukaryotic Translation Initiation,REAC:R-HSA-72613,7.37E-06,5.132389068,120,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Cap-dependent Translation Initiation,REAC:R-HSA-72737,7.37E-06,5.132389068,120,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Post-translational protein modification,REAC:R-HSA-597592,1.04E-05,4.984855587,1414,35,8,61498,"P11047,E9PM36,E9PC84,K7ELL7,C9JC84,P02671,P61978,P09382",
REAC,Influenza Viral RNA Transcription and Replication,REAC:R-HSA-168273,1.04E-05,4.984855587,133,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Smooth Muscle Contraction,REAC:R-HSA-445355,1.35E-05,4.86851988,38,35,3,61498,"A0A2R8Y5V9,B7Z6Z4,P62736",
REAC,Immune System,REAC:R-HSA-168256,1.45E-05,4.839796002,2041,35,9,61498,"P04040,A0A0A0MS51,P26038,E7EN95,K7ELL7,C9JC84,P02671,P50990,A0A0G2JL54",
REAC,Influenza Infection,REAC:R-HSA-168255,1.56E-05,4.807991335,152,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Metabolism,REAC:R-HSA-1430728,1.56E-05,4.807991335,2075,35,9,61498,"M0QZN2,J3KTE4,E9PM36,Q07954,P60174,P63220,P51884,K7EJP1,P21810",
REAC,Cellular response to starvation,REAC:R-HSA-9711097,1.71E-05,4.766902418,157,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Innate Immune System,REAC:R-HSA-168249,1.99E-05,4.701558778,1094,35,7,61498,"P04040,A0A0A0MS51,K7ELL7,C9JC84,P02671,P50990,A0A0G2JL54",
REAC,Regulation of expression of SLITs and ROBOs,REAC:R-HSA-9010553,2.27E-05,4.644412863,171,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,"Formation of the ternary complex, and subsequently, the 43S complex",REAC:R-HSA-72695,2.78E-05,4.555298616,52,35,3,61498,"M0QZN2,E9PM36,P63220",
REAC,Major pathway of rRNA processing in the nucleolus and cytosol,REAC:R-HSA-6791226,2.78E-05,4.555298616,182,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Cellular responses to stress,REAC:R-HSA-2262752,2.89E-05,4.538809204,751,35,6,61498,"M0QZN2,J3KTE4,P04040,E9PM36,P63220,B4DJF2",
REAC,Cellular responses to stimuli,REAC:R-HSA-8953897,3.13E-05,4.503984469,765,35,6,61498,"M0QZN2,J3KTE4,P04040,E9PM36,P63220,B4DJF2",
REAC,rRNA processing in the nucleus and cytosol,REAC:R-HSA-8868773,3.15E-05,4.501661817,192,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,rRNA processing,REAC:R-HSA-72312,3.59E-05,4.445200791,202,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Ribosomal scanning and start codon recognition,REAC:R-HSA-72702,3.59E-05,4.445200791,59,35,3,61498,"M0QZN2,E9PM36,P63220",
REAC,Translation initiation complex formation,REAC:R-HSA-72649,3.59E-05,4.445200791,59,35,3,61498,"M0QZN2,E9PM36,P63220",
REAC,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",REAC:R-HSA-72662,3.63E-05,4.440195089,60,35,3,61498,"M0QZN2,E9PM36,P63220",
REAC,Signaling by ROBO receptors,REAC:R-HSA-376176,4.55E-05,4.341796584,217,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Collagen biosynthesis and modifying enzymes,REAC:R-HSA-1650814,4.85E-05,4.314165352,67,35,3,61498,"D6RGG3,C9JNG9,E9PKH2",
REAC,Signal Transduction,REAC:R-HSA-162582,5.23E-05,4.281170639,2523,35,9,61498,"P11047,A0A2R8Y5V9,B7Z6Z4,C9JC84,P02671,P62736,C9JNG9,D6R909,B4DJF2",
REAC,Infectious disease,REAC:R-HSA-5663205,7.11E-05,4.147940745,916,35,6,61498,"M0QZN2,J3KTE4,E9PM36,K7ELL7,P61978,P63220",
REAC,Collagen formation,REAC:R-HSA-1474290,0.000107176,3.969903614,89,35,3,61498,"D6RGG3,C9JNG9,E9PKH2",
REAC,Translation,REAC:R-HSA-72766,0.000131544,3.880930008,292,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,GRB2:SOS provides linkage to MAPK signaling for Integrins ,REAC:R-HSA-354194,0.000158454,3.800096479,14,35,2,61498,"C9JC84,P02671",
REAC,p130Cas linkage to MAPK signaling for integrins,REAC:R-HSA-372708,0.000179318,3.746376433,15,35,2,61498,"C9JC84,P02671",
REAC,Metabolism of RNA,REAC:R-HSA-8953854,0.000188,3.725841507,661,35,5,61498,"M0QZN2,J3KTE4,E9PM36,P61978,P63220",
REAC,MyD88 deficiency (TLR2/4),REAC:R-HSA-5602498,0.000223654,3.650424297,17,35,2,61498,"C9JC84,P02671",
REAC,IRAK4 deficiency (TLR2/4),REAC:R-HSA-5603041,0.000247029,3.607252431,18,35,2,61498,"C9JC84,P02671",
REAC,Metabolism of amino acids and derivatives,REAC:R-HSA-71291,0.000295316,3.529712421,370,35,4,61498,"M0QZN2,J3KTE4,E9PM36,P63220",
REAC,Regulation of TLR by endogenous ligand,REAC:R-HSA-5686938,0.000327016,3.485430462,21,35,2,61498,"C9JC84,P02671",
REAC,Common Pathway of Fibrin Clot Formation,REAC:R-HSA-140875,0.000347603,3.458916332,22,35,2,61498,"C9JC84,P02671",
REAC,Degradation of the extracellular matrix,REAC:R-HSA-1474228,0.000347603,3.458916332,140,35,3,61498,"P11047,D6RGG3,C9JNG9",
REAC,Diseases of signal transduction by growth factor receptors and second messengers,REAC:R-HSA-5663202,0.00043767,3.358853262,417,35,4,61498,"P26038,A0A2R8Y5V9,C9JC84,P02671",
REAC,Integrin signaling,REAC:R-HSA-354192,0.0004726,3.325506536,26,35,2,61498,"C9JC84,P02671",
REAC,Diseases associated with the TLR signaling cascade,REAC:R-HSA-5602358,0.000653881,3.184501546,31,35,2,61498,"C9JC84,P02671",
REAC,Diseases of Immune System,REAC:R-HSA-5260271,0.000653881,3.184501546,31,35,2,61498,"C9JC84,P02671",
REAC,Signaling by high-kinase activity BRAF mutants,REAC:R-HSA-6802948,0.000822637,3.084791878,35,35,2,61498,"C9JC84,P02671",
REAC,Muscle contraction,REAC:R-HSA-397014,0.000834809,3.078412694,195,35,3,61498,"A0A2R8Y5V9,B7Z6Z4,P62736",
REAC,Platelet Aggregation (Plug Formation),REAC:R-HSA-76009,0.000941932,3.025980634,38,35,2,61498,"C9JC84,P02671",
REAC,Formation of Fibrin Clot (Clotting Cascade),REAC:R-HSA-140877,0.000963724,3.016047251,39,35,2,61498,"C9JC84,P02671",
REAC,MAP2K and MAPK activation,REAC:R-HSA-5674135,0.000963724,3.016047251,39,35,2,61498,"C9JC84,P02671",
REAC,Signaling by RAF1 mutants,REAC:R-HSA-9656223,0.000999597,3.000175013,40,35,2,61498,"C9JC84,P02671",
REAC,Diseases associated with glycosaminoglycan metabolism,REAC:R-HSA-3560782,0.001035687,2.984771275,41,35,2,61498,"P51884,P21810",
REAC,Signaling by moderate kinase activity BRAF mutants,REAC:R-HSA-6802946,0.001166471,2.933125935,45,35,2,61498,"C9JC84,P02671",
REAC,Signaling downstream of RAS mutants,REAC:R-HSA-9649948,0.001166471,2.933125935,45,35,2,61498,"C9JC84,P02671",
REAC,Collagen chain trimerization,REAC:R-HSA-8948216,0.001166471,2.933125935,44,35,2,61498,"D6RGG3,C9JNG9",
REAC,Paradoxical activation of RAF signaling by kinase inactive BRAF,REAC:R-HSA-6802955,0.001166471,2.933125935,45,35,2,61498,"C9JC84,P02671",
REAC,Signaling by RAS mutants,REAC:R-HSA-6802949,0.001166471,2.933125935,45,35,2,61498,"C9JC84,P02671",
REAC,Sensory processing of sound by outer hair cells of the cochlea,REAC:R-HSA-9662361,0.001557519,2.807566685,53,35,2,61498,"A0A0A0MS51,P26038",
REAC,Signaling by ALK fusions and activated point mutants,REAC:R-HSA-9725370,0.001557519,2.807566685,53,35,2,61498,"P26038,A0A2R8Y5V9",
REAC,Signaling by ALK in cancer,REAC:R-HSA-9700206,0.001557519,2.807566685,53,35,2,61498,"P26038,A0A2R8Y5V9",
REAC,Non-integrin membrane-ECM interactions,REAC:R-HSA-3000171,0.001841698,2.734781575,58,35,2,61498,"P11047,E9PC84",
REAC,Assembly of collagen fibrils and other multimeric structures,REAC:R-HSA-2022090,0.001946317,2.71078641,60,35,2,61498,"D6RGG3,C9JNG9",
REAC,"Defective SLC4A1 causes HSP4,  dRTA and dRTA-HA",REAC:R-HSA-5619050,0.002005816,2.697708957,1,35,1,61498,P02730,"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)"
REAC,Metabolism of carbohydrates,REAC:R-HSA-71387,0.002010945,2.696599799,285,35,3,61498,"P60174,P51884,P21810",
REAC,Collagen degradation,REAC:R-HSA-1442490,0.00210292,2.677177311,64,35,2,61498,"D6RGG3,C9JNG9",
REAC,Organelle biogenesis and maintenance,REAC:R-HSA-1852241,0.00210292,2.677177311,293,35,3,61498,"P50990,K7EJP1,B4DJF2",
REAC,Signaling by BRAF and RAF1 fusions,REAC:R-HSA-6802952,0.00210292,2.677177311,64,35,2,61498,"C9JC84,P02671",
REAC,Sensory processing of sound,REAC:R-HSA-9659379,0.002751438,2.560440269,74,35,2,61498,"A0A0A0MS51,P26038",
REAC,Oncogenic MAPK signaling,REAC:R-HSA-6802957,0.003335036,2.476899485,82,35,2,61498,"C9JC84,P02671",
REAC,ER-Phagosome pathway,REAC:R-HSA-1236974,0.003965401,2.401712935,90,35,2,61498,"C9JC84,P02671",
REAC,RHO GTPases activate PKNs,REAC:R-HSA-5625740,0.004273592,2.369206909,94,35,2,61498,"B7Z6Z4,B4DJF2",
REAC,Toll Like Receptor TLR6:TLR2 Cascade,REAC:R-HSA-168188,0.004724357,2.325657315,100,35,2,61498,"C9JC84,P02671",
REAC,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,REAC:R-HSA-166058,0.004724357,2.325657315,100,35,2,61498,"C9JC84,P02671",
REAC,Toll Like Receptor 2 (TLR2) Cascade,REAC:R-HSA-181438,0.004901626,2.309659811,103,35,2,61498,"C9JC84,P02671",
REAC,Toll Like Receptor TLR1:TLR2 Cascade,REAC:R-HSA-168179,0.004901626,2.309659811,103,35,2,61498,"C9JC84,P02671",
REAC,Antigen processing-Cross presentation,REAC:R-HSA-1236975,0.005132602,2.28966242,106,35,2,61498,"C9JC84,P02671",
REAC,Amyloid fiber formation,REAC:R-HSA-977225,0.005463797,2.262505457,110,35,2,61498,"A0A0A0MS51,P02671",
REAC,L1CAM interactions,REAC:R-HSA-373760,0.006312631,2.199789584,119,35,2,61498,"P11047,P26038",
REAC,Glycosaminoglycan metabolism,REAC:R-HSA-1630316,0.006667651,2.176027112,123,35,2,61498,"P51884,P21810",
REAC,Platelet degranulation ,REAC:R-HSA-114608,0.006812727,2.166679024,125,35,2,61498,"C9JC84,P02671",
REAC,Response to elevated platelet cytosolic Ca2+,REAC:R-HSA-76005,0.007212111,2.141937621,130,35,2,61498,"C9JC84,P02671",
REAC,Neutrophil degranulation,REAC:R-HSA-6798695,0.007212111,2.141937621,476,35,3,61498,"P04040,A0A0A0MS51,P50990",
REAC,Toll Like Receptor 4 (TLR4) Cascade,REAC:R-HSA-166016,0.007358449,2.133213732,132,35,2,61498,"C9JC84,P02671",
REAC,Maturation of spike protein,REAC:R-HSA-9683686,0.007975491,2.098242552,5,35,1,61498,K7ELL7,
REAC,Death Receptor Signalling,REAC:R-HSA-73887,0.008021527,2.09574295,140,35,2,61498,"D6R909,B4DJF2",
REAC,Diseases of glycosylation,REAC:R-HSA-3781865,0.008021527,2.09574295,140,35,2,61498,"P51884,P21810",
REAC,TNFR1-mediated ceramide production,REAC:R-HSA-5626978,0.009210265,2.035727891,6,35,1,61498,D6R909,
REAC,NADE modulates death signalling,REAC:R-HSA-205025,0.009210265,2.035727891,6,35,1,61498,B4DJF2,
REAC,Sensory Perception,REAC:R-HSA-9709957,0.00922636,2.034969588,533,35,3,61498,"A0A0A0MS51,P26038,Q07954",
REAC,Toll-like Receptor Cascades,REAC:R-HSA-168898,0.009309449,2.031076012,154,35,2,61498,"C9JC84,P02671",
REAC,Protein localization,REAC:R-HSA-9609507,0.00969804,2.013316047,158,35,2,61498,"P04040,K7EJP1",
REAC,Activation of C3 and C5,REAC:R-HSA-174577,0.010355228,1.984840325,7,35,1,61498,A0A0G2JL54,
REAC,Defective CHST3 causes SEDCJD,REAC:R-HSA-3595172,0.011153385,1.952593325,8,35,1,61498,P21810,
REAC,Defective ST3GAL3 causes MCT12 and EIEE15,REAC:R-HSA-3656243,0.011153385,1.952593325,8,35,1,61498,P51884,
REAC,Defective CHSY1 causes TPBS,REAC:R-HSA-3595177,0.011153385,1.952593325,8,35,1,61498,P21810,
REAC,Defective CHST6 causes MCDC1,REAC:R-HSA-3656225,0.011153385,1.952593325,8,35,1,61498,P51884,
REAC,"Defective CHST14 causes EDS, musculocontractural type",REAC:R-HSA-3595174,0.011153385,1.952593325,8,35,1,61498,P21810,
REAC,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),REAC:R-HSA-3656244,0.011153385,1.952593325,8,35,1,61498,P51884,
REAC,Apoptosis,REAC:R-HSA-109581,0.011153385,1.952593325,176,35,2,61498,"A0A0A0MS51,B4DJF2",
REAC,Erythrocytes take up oxygen and release carbon dioxide,REAC:R-HSA-1247673,0.012411954,1.906159854,9,35,1,61498,P02730,
REAC,Folding of actin by CCT/TriC,REAC:R-HSA-390450,0.013559361,1.867760766,10,35,1,61498,P50990,
REAC,Bicarbonate transporters,REAC:R-HSA-425381,0.013559361,1.867760766,10,35,1,61498,P02730,
REAC,Cilium Assembly,REAC:R-HSA-5617833,0.013955429,1.855256808,201,35,2,61498,"P50990,B4DJF2",
REAC,Programmed Cell Death,REAC:R-HSA-5357801,0.014379323,1.84226157,205,35,2,61498,"A0A0A0MS51,B4DJF2",
REAC,Dermatan sulfate biosynthesis,REAC:R-HSA-2022923,0.014550423,1.837124379,11,35,1,61498,P21810,
REAC,HSF1 activation,REAC:R-HSA-3371511,0.015616919,1.806404652,12,35,1,61498,B4DJF2,
REAC,Caspase-mediated cleavage of cytoskeletal proteins,REAC:R-HSA-264870,0.015616919,1.806404652,12,35,1,61498,A0A0A0MS51,
REAC,Signaling by Rho GTPases,REAC:R-HSA-194315,0.016177034,1.791101115,702,35,3,61498,"A0A2R8Y5V9,B7Z6Z4,B4DJF2",
REAC,Erythrocytes take up carbon dioxide and release oxygen,REAC:R-HSA-1237044,0.016177034,1.791101115,13,35,1,61498,P02730,
REAC,Advanced glycosylation endproduct receptor signaling,REAC:R-HSA-879415,0.016177034,1.791101115,13,35,1,61498,K7ELL7,
REAC,Keratan sulfate degradation,REAC:R-HSA-2022857,0.016177034,1.791101115,13,35,1,61498,P51884,
REAC,O2/CO2 exchange in erythrocytes,REAC:R-HSA-1480926,0.016177034,1.791101115,13,35,1,61498,P02730,
REAC,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,REAC:R-HSA-75035,0.016177034,1.791101115,13,35,1,61498,B4DJF2,
